Country,ISO,Sec_cntry,Name,AltDamName,Purpose,Admin_unit,Near_city,River,Main_basin,Sub_basin,Status,PVOUT,PotentialPVSurface,PV_InstalledCapacity,PV_SpaCapacity,Dam_hgt,Res_capacityM3,Res_area_km2,HPP_Install_Cap,Transm_exist,Transm_length,Transm_plan,Proj_type,Lifecycle,Storage_ty,Linked_prj,Proj_cost,Proj_statu,Study_stat,YEAR,Yr_recents,Comission_,Ann_firm_g,Ann_tot_ge,Prox_irrig,Size_irrig,Owner,Autom_EMS_,PrivateOwn,Feed_in_ta,Feed_in__1,Guaranteed,Competitiv,Winning_bi,OtherFisca,Prioritize,Priority_d,Compensati,Compensa_1,Gov_guaran,Regulatory,Download,Long__res_,Lat__res_,Lat__hydro,Long__hydr,Database,Notes
Burkina Faso,BFA,,Manessa,Kouilwoko / Namessa,Irrigation,Oubritenga,Daplgo,Nakanbe,West Coast,Nakanbe,Unknown,0,0,0,0,0,1.33,0,0,0,0,0,,,,,0,,,1933,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/burkina-faso),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Nigeria,NGA,,Ouree,,Hydropower,Plateau,,Ouree,,,Unknown,0,0.01,1.2,0,21,6.7,0.1,0,0,0,0,,,,,0,,,1936,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (http://rise.esmap.org/country/nigeria),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Nigeria,NGA,,Tenti,,Hydropower,Plateau,Tenti,,,,Unknown,0,0,0,0,14,14.15,0,0,0,0,0,,,,,0,,,1943,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (http://rise.esmap.org/country/nigeria),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Burkina Faso,BFA,,Soaw,,,Boulkiemde,Soaw,Mouhoun,West Coast,Mouhoun,Unknown,0,0,0,0,0,1.42,0,0,0,0,0,,,,,0,,,1953,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/burkina-faso),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Burkina Faso,BFA,,Loumana,Dalan,,Leraba,Loumana,Comoe,West Coast,Comoe,Unknown,0,0,0,0,0,2.22,0,0,0,0,0,,,,,0,,,1955,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/burkina-faso),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
United Republic of Tanzania,TZA,,Holombo,,,Dodoma,,Wami,,,Unknown,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,1957,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/tanzania),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
South Africa,ZAF,,Sachs,,,,,Wiulge,,,Unknown,0,0,0,0,0,0.55,0,0,0,0,0,,,,,0,,,1958,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/south-africa),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Togo,TGO,,Kprime,,Hydropower,,Paline,Aka,,,Unknown,0,0,0,0,16,0.9,0,0,0,0,0,,,,,0,,,1963,0,0,0,0,,,,,,,,,,,,,,,,,,Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Burkina Faso,BFA,,Vy,,"Irrigation, Water Supply",Les Bales,Bagassi,Mouhoun,West Coast,Mouhoun,Unknown,0,0,0,0,0,1.5,0,0,0,0,0,,,,,0,,,1964,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/burkina-faso),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
South Africa,ZAF,,Kokstad,,,,Kokstad,Crystal Springs,,,Unknown,0,0,0,0,0,1.31,0,0,0,0,0,,,,,0,,,1967,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/south-africa),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Tunisia,TUN,,G'dir El Goula,,,Tunis,Tunis,,,,Unknown,0,0.01,0.9,0,32,2.8,0.07,0,0,0,0,,,,,0,,,1968,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/tunisia),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Nigeria,NGA,,Liberty,,,Plateau,Jos,Rafin Sanyi,,,Unknown,0,0,0,0,27,0.08,0,0,0,0,0,,,,,0,,,1973,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (http://rise.esmap.org/country/nigeria),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Nigeria,NGA,,Dutsin-Ma,,,Kaduna,Dutsin-Ma,Dutsin-Ma,,,Unknown,0,0.09,10.5,0,10,1.6,0.85,0,0,0,0,,,,,0,,,1973,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (http://rise.esmap.org/country/nigeria),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Nigeria,NGA,,Ajiwa,,,Kaduna,Ajiwa,Jagwai,,,Unknown,0,0.52,64,0,14,22.73,5.18,0,0,0,0,,,,,0,,,1973,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (http://rise.esmap.org/country/nigeria),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
South Africa,ZAF,,Withdam,,,,,Koekedouw,,,Unknown,0,0,0,0,0,0.91,0,0,0,0,0,,,,,0,,,1973,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/south-africa),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Zimbabwe,ZWE,,Insiza,,,,,Insiza,Limpopo Basin,Mzingwane,Unknown,0,0,0,0,44,173,0,0,0,0,0,,,,,0,,,1973,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (https://rise.esmap.org/country/zimbabwe),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
Nigeria,NGA,,Otin,,,Ovo,Eko-Ende,Otin,,,Unknown,0,0.49,60,0,14,5.46,4.86,0,0,0,0,,,,,0,,,1974,0,0,0,0,,,,,,,,,,,,,,,,,RISE Information (http://rise.esmap.org/country/nigeria),Full Database https://energydata.info/dataset/global-dams-database,0,0,,,FAO,
