Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,312,498,555,63,565,59,637,748,542,776,751,595,71,804,895,989,1025,105,105,107
Africa,75246,80864,85181,82873,87405,89066,92241,95341,97157,99761,107427,110445,110952,117673,123727,115801,123816,130388,132735,0
Albania,4548,3519,3477,5117,5411,5319,4951,276,3759,5201,7673,4036,4725,6959,4726,5866,7136,448,448,4018
Algeria,54,69,57,265,251,555,218,226,283,342,173,378,389,99,193,145,72,56,117,152
Angola,903,1007,1132,1229,1733,2197,2638,2472,3103,3063,3666,3967,3734,4719,4991,5037,5757,7576,7576,8422
Argentina,34034,41903,41467,3908,35403,3935,43624,37741,37199,40783,40543,39641,36876,407,40864,41771,38254,41543,41648,37067
Australia,16466,16124,16095,16211,15687,15466,14945,13049,11815,12642,13746,19572,17036,19089,14484,14085,17631,13502,17356,14294
Austria,41836,40455,40227,33215,36762,37095,35656,37054,38329,40896,38363,34239,43804,42047,4101,37056,39845,38293,37638,40732
Azerbaijan,1534,1301,202,247,2755,3009,2518,2364,2232,2308,3446,2676,1821,1489,13,1638,1959,1746,1768,1565
Bangladesh,749,993,749,749,749,749,749,749,95,417,729,872,777,728,566,898,885,103,865,823
Belarus,27,3,29,28,33,36,35,35,39,45,45,42,72,138,121,111,142,405,324,324
Belgium,46,441,36,247,317,288,359,389,41,328,312,196,357,38,295,318,37,27,314,296
Belize,93,91,88,61,63,69,178,177,204,188,263,245,209,259,256,236,261,268,268,279
Bhutan,1792,1921,2178,2502,2329,262,4474,6494,6891,6928,7255,6975,6745,7531,715,7731,7879,765,765,7623
Bolivia,1953,2108,2181,0,2128,1944,2137,2296,2287,2273,216,2324,2328,251,2228,2438,1703,2212,2586,2635
Bosnia and Herzegovina,5043,5129,5215,4456,5919,5938,5798,3961,4818,6177,7946,4343,4173,7164,5876,5495,5585,3947,6488,6819
Brazil,304403,267876,286092,305616,320797,337457,348805,374015,369556,390988,40329,428333,415342,390992,373439,359743,380911,370906,388971,399297
Bulgaria,2673,1737,2194,3029,3168,4337,4238,2874,2824,347,5057,2917,3226,408,4605,5661,3942,2828,5147,3422
Burkina Faso,97,53,64,96,1,99,8,11,135,131,116,81,97,106,9,93,139,128,128,14
Burundi,98,114,126,1,9,95,92,116,111,12,141,128,139,138,14,136,142,185,185,201
Cambodia,46,3,29,41,28,44,48,47,43,37,32,51,512,1006,1833,198,2593,2706,2706,2948
Cameroon,3408,3439,315,3493,3881,3734,3853,3809,419,3976,4217,4353,3462,4042,4516,4315,4565,4554,4554,4634
Canada,35676,331521,349275,336139,338398,361956,352887,367621,377488,368687,351385,375724,380267,391789,382501,382193,385432,394587,385879,0
Central African Republic,83,82,82,83,124,133,139,136,136,135,134,146,149,137,168,168,169,15,15,144
Chile,19081,2168,23187,22603,20969,25576,28215,22335,24266,25179,21759,2051,20162,0,23045,23622,0,21326,23367,20853
China,22241,27743,28797,28368,353544,397017,435786,485264,63696,615644,711383,688045,862794,909612,1059692,1114515,1153268,1165065,0,1269674
Colombia,30816,31633,33968,36176,3833,39221,42558,44242,46161,40837,40557,48427,47582,44363,44742,44682,46788,57342,56647,51542
Congo,292,331,392,339,327,351,368,332,371,327,426,783,977,961,942,1087,1116,1191,1191,1226
Costa Rica,5617,5597,5871,5864,6421,6502,6535,6701,7313,7153,719,7064,7162,6782,665,7986,7946,859,859,8791
Cote d'Ivoire,1746,1782,1712,1814,1731,1423,1495,1779,1879,211,1602,1756,1771,159,1894,1338,2027,1514,1514,1573
Croatia,6453,7181,5851,5458,7627,7036,6617,47,5781,7409,9126,5033,4837,8622,9007,6391,6853,5307,7701,5841
Cuba,88,74,105,127,87,67,92,12,137,149,96,98,11,126,103,48,63,82,82,93
Czechia,1758,2054,2492,1383,2019,238,2551,2079,2024,243,2789,2134,2232,2856,1909,1795,2001,187,1629,2007
Democratic Republic of Congo,5939,5914,6049,6098,7007,7319,7445,7742,7408,7722,7741,7733,751,8147,8732,8827,9008,9387,9387,9574
Denmark,3,28,32,21,26,22,23,28,26,19,21,17,17,13,15,18,19,18,15,17
Dominica,32,27,3,29,34,27,27,21,2,23,23,35,26,36,3,24,36,27,27,28
Dominican Republic,754,696,871,1193,16,1908,175,1701,1384,1464,1435,1531,1784,1883,1323,934,1504,2174,1762,2038
Ecuador,7611,7071,7524,718,7412,6883,7129,9038,11293,9225,8636,11133,12238,11039,11458,13096,15834,20089,20678,24664
Egypt,14178,14414,13994,12939,12832,12644,12784,14218,15096,13772,12954,1299,13028,13236,13587,13684,13502,13121,13365,13391
El Salvador,1163,1152,1128,1451,1374,1664,1957,1734,2033,15,2079,2006,1842,1785,1713,1349,1257,1615,1544,1609
Guinea Equatorial,2,2,5,7,7,77,77,77,52,52,28,28,8,251,379,389,565,571,571,632
Estonia,5,7,6,13,22,22,14,22,28,32,27,3,42,26,27,27,35,26,15,16
Eswatini,195,19,201,122,102,157,154,171,157,202,242,28,272,24,3,23,122,116,116,78
Ethiopia,163,0,2003,2257,2496,2805,3226,3351,3263,3489,4882,6199,7314,8255,8923,9577,11635,12827,12827,1391
Europe,617664,612041,563942,529569,570153,571725,561909,563964,593033,589745,6498,569649,625806,661637,64406,6359,651435,584778,645255,632538
Fiji,414,463,45,344,367,339,341,508,495,46,41,451,52,522,397,402,491,486,561,614
Finland,14599,1315,1073,9551,15015,13564,11427,14132,1708,127,12872,12402,16835,128,13374,16752,15792,14758,13137,12286
France,66363,74268,60397,58943,59555,5148,56303,57604,63654,56994,62714,44791,58666,70716,6283,54444,60043,49222,6393,58519
French Guiana,0,53,549,571,593,616,639,663,689,708,737,65,556,49,5,49,44,558,558,581
French Polynesia,116,105,131,154,178,177,198,22,209,208,273,223,197,184,17,17,19,174,174,175
Gabon,795,869,914,891,884,804,936,793,885,935,898,832,899,927,786,909,943,885,885,877
Georgia,5801,5487,6699,6461,5989,6174,5262,675,709,7338,9273,7811,7151,8188,8252,8369,9236,9118,985,10344
Germany,24867,23241,23662,17722,20096,19639,20008,21169,20443,19031,20953,17672,2209,22998,19587,18977,20546,2015,17975,20192
Ghana,6544,6543,4986,3846,5228,5573,5563,369,6133,6808,6926,7485,799,8151,8303,5787,5505,556,556,5484
Greece,3693,2097,28,4766,4672,5017,5865,2591,3312,5374,746,4011,4403,6346,4476,6098,5543,3963,5743,4005
Greenland,171,158,182,18,192,203,196,204,202,265,293,335,342,374,392,419,397,384,384,372
Guatemala,2497,2178,1931,2647,2539,291,327,3001,3638,2913,3811,4132,4463,4648,484,3872,3992,5707,5139,5561
Guinea,406,546,589,396,549,489,456,533,524,517,482,413,486,477,422,872,1073,1101,1101,1177
Haiti,28,28,257,252,257,262,268,152,179,205,175,12,219,14,89,89,89,89,89,89
Honduras,2237,1885,1595,1724,1387,1701,2049,2192,2268,2769,3049,2787,2759,2712,2576,2317,2327,2941,311,3374
Hungary,178,186,194,171,205,202,186,21,213,228,188,222,213,213,301,234,259,22,222,22
Iceland,635,6573,6971,7082,7132,7015,7289,8394,12427,12279,12592,12507,12337,12863,12873,13781,1347,14059,13813,13458
India,7699,72023,68545,69296,100636,9742,112617,122613,115169,106338,108744,131705,115776,0,138996,133283,128382,13585,139632,161847
Indonesia,10016,11655,9933,9099,9674,10725,9623,11286,11528,11384,17456,12419,12799,16923,15161,13741,18677,18632,16827,16993
Iran,3781,4122,8012,9588,11933,14448,18509,17959,7438,6723,10252,10684,12502,14624,14504,13252,15422,17232,11391,28963
Iraq,3197,3701,456,4756,575,4894,4991,4566,2932,283,3615,34,4397,4609,2835,2546,3371,2176,1818,2478
Ireland,846,596,912,598,63,631,724,667,968,902,599,707,802,599,709,806,681,692,694,887
Israel,31,1,21,31,28,28,15,14,16,24,31,29,33,28,13,24,17,18,23,23
Italy,442,46811,39519,3667,42338,36067,36994,32815,41623,49138,51117,45823,41875,52774,58545,44105,40607,34373,4707,4514
Jamaica,114,59,93,116,133,15,164,158,156,139,15,15,149,115,135,128,118,152,152,16
Japan,84468,81537,806,92472,91667,77561,88807,7451,75164,70466,88503,82487,771,79332,81709,85765,74075,79244,80997,73927
Jordan,39,43,52,41,52,56,5,6,61,58,6,54,6,54,57,52,42,38,38,33
Kazakhstan,7531,8081,889,8625,8057,7856,7768,8171,746,6879,8022,7883,7637,7731,8263,9269,11621,1121,10376,9987
Kenya,1312,2379,3088,3227,284,2996,3245,3453,2821,2148,3393,3416,4256,3906,3277,3749,3308,3174,3174,2982
Kyrgyzstan,13546,12306,10679,13381,13953,1266,12347,12609,10023,10115,10997,13998,14037,12996,13165,10989,11379,14061,14135,15184
Laos,3277,3297,3212,2832,2998,351,36,337,372,337,8365,12839,12926,1535,15117,139,1776,18467,18467,2819
Latvia,2833,2464,2266,3109,3326,2698,2733,3109,3457,352,2887,37,2912,0,1868,2529,4381,2432,2108,0
Lebanon,445,33,671,1349,1109,1036,688,579,369,616,831,797,997,1256,191,474,378,347,347,305
Lesotho,288,285,314,325,297,459,525,554,584,648,694,49,486,515,52,53,503,5,5,49
Lithuania,339,326,353,325,42,451,397,421,402,424,54,48,422,521,398,35,454,602,45,346
Luxembourg,124,118,1,79,104,93,111,117,132,106,108,63,98,119,108,99,115,86,93,106
Madagascar,54,528,535,604,634,641,631,712,692,734,704,69,755,81,88,81,94,89,89,917
Malawi,1023,1045,1093,1139,1259,1307,1339,1367,1521,1488,1735,179,186,185,195,193,196,182,182,1783
Malaysia,6994,6066,5415,509,5573,6007,6323,5957,7807,689,6361,8056,9251,11799,13388,13924,20024,26846,26471,27045
Mali,233,234,236,234,248,447,479,471,572,672,688,72,775,949,987,1002,1091,1119,1119,1158
